x-axis,1,2
second,Volt,Volt
+220.95000000E-03,-22.11055253E-03,+1.36683415622E+00
+220.95005000E-03,-21.73366811E-03,+1.38442209573E+00
+220.95010000E-03,-21.35678369E-03,+1.38693465851E+00
+220.95015000E-03,-17.71356765E-03,+1.38693465851E+00
+220.95020000E-03,-16.58291440E-03,+1.39447234687E+00
+220.95025000E-03,-14.07035161E-03,+1.38693465851E+00
+220.95030000E-03,-12.06030138E-03,+1.40703516081E+00
+220.95035000E-03,-12.06030138E-03,+1.40703516081E+00
+220.95040000E-03,-10.05025115E-03,+1.39824119105E+00
+220.95045000E-03,-9.42211045E-03,+1.40703516081E+00
+220.95050000E-03,-6.03015069E-03,+1.41457284917E+00
+220.95055000E-03,-6.03015069E-03,+1.42462310032E+00
+220.95060000E-03,-2.01005023E-03,+1.41457284917E+00
+220.95065000E-03,+0.0E+00,+1.40452259802E+00
+220.95070000E-03,+0.0E+00,+1.41834169335E+00
+220.95075000E-03,+1.63316581E-03,+1.40703516081E+00
+220.95080000E-03,+4.02010046E-03,+1.40703516081E+00
+220.95085000E-03,+3.64321604E-03,+1.42713566311E+00
+220.95090000E-03,+6.03015069E-03,+1.41457284917E+00
+220.95095000E-03,+8.04020092E-03,+1.40703516081E+00
+220.95100000E-03,+8.66834162E-03,+1.40954772360E+00
+220.95105000E-03,+10.05025115E-03,+1.40703516081E+00
+220.95110000E-03,+12.06030138E-03,+1.39824119105E+00
+220.95115000E-03,+13.69346719E-03,+1.40703516081E+00
+220.95120000E-03,+17.46231137E-03,+1.38693465851E+00
+220.95125000E-03,+18.34170835E-03,+1.36809043761E+00
+220.95130000E-03,+18.71859276E-03,+1.37437184458E+00
+220.95135000E-03,+18.34170835E-03,+1.36683415622E+00
+220.95140000E-03,+22.73869322E-03,+1.36683415622E+00
+220.95145000E-03,+22.11055253E-03,+1.36683415622E+00
+220.95150000E-03,+25.37688415E-03,+1.34673365392E+00
+220.95155000E-03,+26.38190927E-03,+1.34673365392E+00
+220.95160000E-03,+28.14070322E-03,+1.31407033768E+00
+220.95165000E-03,+28.39195949E-03,+1.32663315162E+00
+220.95170000E-03,+30.15075345E-03,+1.30653264932E+00
+220.95175000E-03,+31.78391926E-03,+1.30653264932E+00
+220.95180000E-03,+34.17085391E-03,+1.30653264932E+00
+220.95185000E-03,+36.18090414E-03,+1.26758792612E+00
+220.95190000E-03,+34.79899460E-03,+1.26256280055E+00
+220.95195000E-03,+36.18090414E-03,+1.26633164473E+00
+220.95200000E-03,+38.81909506E-03,+1.24623114243E+00
